,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-89.60513490000001,36.8730455,112,luther st,,scott,,mo,,,acd79f033b5f83a5
1,-89.6051764,36.873473,,202luther st,,scott,,mo,,,1e534dc9476184ad
2,-89.60606609999999,36.876911299999996,,331luther st,,scott,,mo,,,2364495be4faddb2
3,-89.60588249999999,36.875223999999996,,luther & north st,,scott,,mo,,,a3388bd2f8d5ac74
4,-89.60555529999999,36.8769724,,332luther st,,scott,,mo,,,8a29015cee3f295b
5,-89.6057442,36.8739554,,217luther st,,scott,,mo,,,8cad4a99a9c98573
6,-89.6056906,36.8734631,,207luther st,,scott,,mo,,,bd041b0924a2762a
7,-90.286119,38.6761307,6201,dr martin luther king dr,,SAINT LOUIS,,mo,63133,,83dcdc02fb97ed63
8,-90.32546540000001,38.7416451,5825,martin luther king blvd,,SAINT LOUIS,,mo,63140,,f6f76762c26075f7
9,-90.39102209999999,38.5856409,418,luther ct,,SAINT LOUIS,,mo,63122,,7c334c11501e5765
10,-90.3921004,38.5839566,319,luther ln,,SAINT LOUIS,,mo,63122,,d40fb61896e0e2cb
11,-93.1402707,36.6625512,167,luther ln,,FORSYTH,,mo,65653,,f4b0c1e33ab237ff
12,-94.3387434,38.944878,1820,ne luther rd,,LEE'S SUMMIT,,mo,64086,,9ef26df107c06c71
13,-90.1835632,38.6314286,100,dr martin luther king dr,,city_of_st_louis,,mo,,,d7c3c6152f61226f
14,-90.2131902,38.6978487,2,luther ave,,city_of_st_louis,,mo,,,8cef9c40493aa4b6
15,-90.2409615,38.654225200000006,4202,w dr martin luther king dr,,city_of_st_louis,,mo,,,b92f6091e8544b67
16,-93.40604379999999,44.723980600000004,5630,luther road southeast,,scott,,mn,55372,,510b592425533e82
17,-93.1949593,44.9833921,2250,luther place,,Saint Paul,Ramsey,mn,55108,,7986b03d0d787d5f
18,-93.102906,44.9530646,80,rev dr martin luther king jr boulevard,,Saint Paul,Ramsey,mn,55155,,3364ea0c5e296741
19,-93.3913678,43.6572371,909,luther              pl,,ALBERT LEA,,mn,56007-0000,,f9c86f895f6e5d73
20,-93.48643879999999,44.8657573,16440,luther way,,Eden Prairie,,mn,55346,,fdc5ab7b6a586612
21,-83.3776532,42.3924341,33600,luther lane,,semcog,,mi,48154,,8355d9b60908dc98
22,-83.2941508,42.6130578,607,luther ave,,semcog,,mi,48341,,aad681bbeef6392a
23,-83.26873909999999,42.620534,640,martin luther king jr blvd s,,semcog,,mi,48341,,1fc6c1e79b4dea79
24,-83.2693495,42.6387477,19,martin luther king jr blvd n,,semcog,,mi,48342,,c72399184c3017cd
25,-83.1501296,42.2906556,538,luther,,semcog,,mi,48217,,2b9fbee6ea9626ec
26,-83.0705464,42.342957899999995,1300,martin luther king jr blvd,,semcog,,mi,48201,,1f2a50f73de0c422
27,-83.1447454,42.2920277,203,luther,,DETROIT,,mi,48217,200163078,e965b0055ef7fd09
28,-83.2763019,42.6547052,673,martin luther king jr blvd n,,Pontiac,,mi,48342,,1f2c47cfed269a07
29,-83.2685139,42.637932299999996,5,martin luther king jr blvd s,,Pontiac,,mi,48342,,1d641b0d20057af6
30,-83.2873232,42.6132676,425,luther ave,,Pontiac,,mi,48341,,945bb13561dbd59b
31,-85.1137808,41.0730171,1816,luther st,,allen,ALLEN,in,46803,,c89a9202f2fdafca
32,-85.10690809999998,41.13423770000001,2626,martin luther dr,,allen,ALLEN,in,46825,,f51cd94fe2f12245
33,-87.31843549999999,41.5859789,1501,martin luther king dr,,Gary,,in,46407,,a8d87b753f97d111
34,-87.2459938,41.5229113,912,luther dr,,Hobart,,in,46342,,517fcc581fd53203
35,-87.3532877,41.398581799999995,1100,e luther dr,,Crown Point,,in,46307,,91429ccdc26f548a
36,-85.37433409999998,40.216813099999996,2801,n dr martin luther king jr blvd,,MUNCIE,,in,47303,,9397d1993ca72551
37,-85.1121755,41.0730635,1916,luther st,,FW,2,in,46803,,cd1d22dc540a5e54
38,-85.1069031,41.13422979999999,2626,martin luther dr,,FW,2,in,46825,,ee6a653ac500e062
39,-85.74611290000001,38.2840739,202,luther cir,,JEFFERSONVILLE,10,in,47130,,22c08c761922afc8
40,-87.1310015,39.5199565,211,s luther st,,CARBON,11,in,47834,,467af2fb6a3bf7ae
41,-84.8475268,39.100483000000004,519,martin luther king dr,,,15,in,47025,,c536578df804b08c
42,-85.92084100000001,38.3180484,3045,luther road,,CORYDON,22,in,47122,,ab83bb814dc6e42c
43,-85.914192,38.303621899999996,2141,north luther road,,GEORGETOWN,22,in,47122,,6d5fe6afc18e955b
44,-85.9390078,38.2047823,5881,west luther road,,ELIZABETH,22,in,47119,,2fecca15d1f5bc59
45,-85.9126558,38.3248943,5869,west luther,,ELIZABETH,22,in,47119,,4d1fabc310eb3b18
46,-85.9174662,38.3198184,3474,north luther,,ELIZABETH,22,in,47119,,508c2666b96bc744
47,-85.9082881,38.3255756,,n.luther road,,CORYDON,22,in,47122,,7dbfeb42479a6c1d
48,-85.9137002,38.2985431,5704,luther ridge lane,,CORYDON,22,in,47122,,0a50f3e2cd9de8ac
49,-85.8928425,38.32465070000001,4571,east luther road,,ELIZABETH,22,in,47719,,bebab47a722cc08b
50,-86.0208251,38.132932000000004,4830,luther ln se,,ELIZABETH,31,in,47117,,9d25f68fe3a71e1a
51,-86.9522295,39.311712899999996,1503,lutheran st,,BOWLING GREEN,60,in,47833,,391ae5657f839923
52,-86.0098394,39.7905681,1637,lutherwood dr,,,49,in,46219,,6e4aec93d349da1e
53,-86.1248505,39.8018766,2407,martin luther ln,,,49,in,46218,,067601a0e531bea3
54,-86.089824,39.074205,8039,lutheran lake rd,,SEYMOUR,7,in,47274,,0366ae187e07cc78
55,-86.083905,39.075579,8089,lutheran lake road,,SEYMOUR,7,in,47274,,ac58bc44447d0aa3
56,-87.147205,39.986595,2420,e lutheran church rd,,WALLACE,23,in,47949,,be51eb2c1a237c3a
57,-87.14357199999999,39.984949,,lutheran church rd,,WALLACE,23,in,47949,,54274e3904c3d447
58,-85.37433409999998,40.216813099999996,2801,n dr martin luther king jr blvd,,MUNCIE,18,in,47303,,e493fb45f7c07aa9
59,-86.8659844,41.7279351,408,martin luther king jr  dr,,MICHIGAN CITY,46,in,46360,,7ab251b98bcd171f
60,-85.7043374,40.082024,3245,s martin luther king jr blvd,,ANDERSON,48,in,46013,,43ae329fb7bbef44
61,-85.6835825,40.099273100000005,234,martin luther king jr blvd,,ANDERSON,48,in,46016,,0cde66fcf95bb72d
62,-85.7179179,40.057111,5705,marting luther king jr blvd,,ANDERSON,48,in,46013,,36183753a2c9f776
63,-85.700639,40.0834967,3100,martin luther blvd,,ANDERSON,48,in,46013,,dae4e7423558462a
64,-87.31843,41.5859711,1501,martin luther king dr,,GARY,45,in,46407,,aa17d6a070b9481c
65,-87.2459884,41.5229034,912,luther dr,,HOBART,45,in,46342,,fd5ab0b4f1335114
66,-87.35328220000001,41.398573999999996,1100,e luther dr,,CROWN POINT,45,in,46307,,3f2990bb577759cc
67,-86.237942,41.678595,905,luther ct,,SOUTH BEND,71,in,46617,,079b71f6e9e4ecc6
68,-91.65162790000001,41.920559000000004,482,luther st sw,,Cedar Rapids,,ia,52404,,66ceb1da39666aed
69,-97.32542729999999,37.638516499999994,1026,e   luther st,,WICHITA,SEDGWICK COUNTY,ks,67216,,94147ae035efc0d0
70,-94.90227259999999,39.28778629999999,2921,martin luther king dr,APT 6,LEAVENWORTH,LEAVENWORTH COUNTY,ks,66048,,65f5e6b45ccd65f8
71,-96.2104295,38.408919399999995,901,luther st,,EMPORIA,LYON COUNTY,ks,66801,,9fd574f86c446f24
72,-97.3259782,37.6384855,1014,e luther st,,WICHITA,,ks,67216,,1da90953bfe56076
73,-96.7548053,40.63478320000001,2501,w luther st,,MARTELL,,ne,68404,,ac74c0f14528a970
74,-96.758663,40.63600039999999,2610,w luther st,,lancaster,,ne,,,a29f1e7719db2740
75,-83.14806329999999,39.978437899999996,1313,st james lutheran ln,,COLUMBUS,FRA,oh,43228,,30a6417630dd3ea8
76,-82.9811478,39.9703314,269,martin luther king jr. blvd,,COLUMBUS,FRA,oh,43203,,99ff18dc764bbba8
77,-83.1583447,40.0222152,5405,luther ln,,HILLIARD,FRA,oh,43026,,96ea893c3fda19b2
78,-83.2340189,39.94304520000001,8830,luther rd se,,JEFFERSON TWP,MAD,oh,43119,,83c2414ddec14285
79,-82.31715729999999,40.8673591,218,luther st,,ASHLAND,ASD,oh,44805,,73825a232022ad79
80,-81.3452639,41.1542898,120,luther ave,,KENT,POR,oh,44240,,12585a687b5515fa
81,-81.0503861,41.238535399999996,9061,martin luther king jr dr,,WINDHAM,POR,oh,44288,,6334d6c02a042fa1
82,-81.95546390000001,39.046597799999994,-9,lutheran cemetery rd,,,MEG,oh,45771,,91fd98d8720c7265
83,-80.65356640000002,40.98476779999999,9222,luther ave,,BEAVER,,oh,44452,,a2a58e367112c40e
84,-80.659164,41.105946,552,martin luther king jr blvd,,YOUNGSTOWN,,oh,44502,,1bfc97144cabda98
85,-83.1583488,40.0222229,5405,luther ln,,HILLIARD,FRA,oh,43026,,835ea7f7fabf5726
86,-83.14806740000002,39.9784456,1313,st james lutheran ln,,COLUMBUS,FRA,oh,43228,,37c483b621f73134
87,-82.98115190000001,39.970339200000005,269,martin luther king jr. blvd,,COLUMBUS,FRA,oh,43203,,0a9d98e7bf2b3543
88,-83.2339517,39.9430659,8830,luther rd se,,GALLOWAY,MAD,oh,43119,,fa49c4446fed8583
89,-82.9814277,39.9687989,190,martin luther king jr blvd,,COLUMBUS,FRA,oh,43203,,ec1696161e76863e
90,-81.60746490000001,41.458591,3678,martin luther king jr dr,,CLEVELAND,,oh,44105,,4ff9cdbabe65e6cb
91,-81.6534999,41.516126299999996,5223,luther ave,,CLEVELAND,,oh,44103,,e2e4d7292e2104ca
92,-81.5960295,41.4415799,4345,martin luther king jr blvd,,GARFIELD HEIGHTS,,oh,44105,,b7952acb714f4f31
93,-81.5183859,40.325739,111,w luther dr,,PORT WASHINGTON,,oh,43837,,400f3557efd78239
94,-81.5169282,40.3270943,107,e luther dr,,PORT WASHINGTON,,oh,43837,,2dbe83a611b33606
95,-81.60487579999999,40.26732,631,martin luther king dr,,NEWCOMERSTOWN,,oh,43832,,dd08b603158d3f88
96,-82.51969190000001,40.758019299999994,105,w luther pl,,MANSFIELD,RIC,oh,44902,,6cc67802b45c84ee
97,-82.5084535,40.7470498,411,luther st,,MANSFIELD,RIC,oh,44902,,9b572d56fb32c534
98,-82.5086373,40.7575729,192,e luther pl,,MANSFIELD,RIC,oh,44902,,ca91555ee7e03b53
99,-83.2340189,39.94304520000001,8830,luther rd se,,,MAD,oh,43119,,3324a242a716859d
100,-82.597786,41.22888629999999,36,luther oaks,,NORWALK,HUR,oh,44857,,53e895dbf66e7019
101,-84.6465187,39.7440024,100,lutheran dr,,EATON,PRE,oh,45320,,bb6df2462852e35c
102,-80.8596809,41.2247388,1268,martin luther king ave sw,,WARREN,TRU,oh,44485,,8da3cbeb356805a4
103,-83.4887077,41.6471583,2458,luther hills dr,,OREGON,LUC,oh,43616,,4653e425a0de0cf9
104,-83.541712,41.640783500000005,313,martin luther king jr dr,,TOLEDO,LUC,oh,43604,,32a47562f28dfd1f
105,-83.68438640000001,41.6672264,-9,luther crest apartments,,TOLEDO,LUC,oh,43615,,7f311a9477463124
106,-83.48822879999999,41.648608,2472,luther hills cir,,OREGON,LUC,oh,43616,,a404830258926e40
107,-82.5162951,39.694404299999995,1775,lutheran church rd  se,,LANCASTER,,oh,43130,,eb8d8d2b50872e24
108,-82.5655429,39.728563799999996,115,luther ln,,LANCASTER,,oh,43130,,7b9588bb09fdb07e
109,-82.8482315,38.8977086,2002,luther rd,B,,,oh,,,1c25d0b00511226c
110,-83.91890670000001,39.666613399999996,809,luther dr,,XENIA,GRE,oh,45385,,a8762389da61a18e
111,-83.1461276,40.592674200000005,299,martin luther king jr ave,,MARION,MAR,oh,43302,,f7d72d98fde2d020
112,-83.4208531,41.2718001,419,luther st n,,RISINGSUN,WOO,oh,43457,,8a29cd5aa9964ea5
113,-83.4209468,41.267663,112,luther st s,,RISINGSUN,WOO,oh,43457,,04472cdaf216277b
114,-83.48608879999999,38.8152562,186,luther rogers rd,,,ADA,oh,45693,,9f1487bfedf803e1
115,-82.5228592,39.011309999999995,67,luther jones rd,,,JAC,oh,45640,,38fb943791936c22
116,-83.3280715,41.3795188,502,luther ln,,GIBSONBURG,SAN,oh,43431,,05380c3c59590aa9
117,-84.52929990000001,39.1387498,707,w martin luther king jr dr,,CINCINNATI HAM OH,,oh,45220,,e3112f0967728dbf
118,-84.50533840000001,39.1351903,203,e martin luther king jr dr,,CINCINNATI HAM OH,,oh,45219,,371f1fe12b2961af
119,-84.7535473,39.225354700000004,9261,luther rd,,WHITEWATER TOWNSHIP HAM OH,,oh,45002,,b1c349ab0a089159
120,-84.55995159999999,39.39078320000001,841,s martin luther king jr blvd,,butler,,oh,45011,,f7e217d6a2bc2093
121,-84.5594699,39.390637,840,b s martin luther king jr blvd,B,butler,,oh,45011,,50aa8f468a8551c4
122,-84.55949059999999,39.390408,840,d s martin luther king jr blvd,D,butler,,oh,45011,,200f46f0c9710308
123,-84.5575555,39.4017427,233,martin luther king jr blvd,,butler,,oh,45011,,1eb4fa363366eaa8
124,-84.5586942,39.3994285,9,n martin luther king jr blvd,,butler,,oh,45011,,24adefcc388d2ab9
125,-84.5594853,39.3904666,840,c s martin luther king jr blvd,C,butler,,oh,45011,,c7091b8bf8618c26
126,-84.559467,39.390669200000005,840,a s martin luther king jr blvd,A,butler,,oh,45011,,4db2c54256ec31ba
127,-87.6145362,41.72334420000001,9410,s dr martin luther king jr dr,,city_of_chicago,,il,,,f3a0d37bfd6265f0
128,-87.69251990000001,41.8472845,2654,w luther st,,city_of_chicago,,il,,,a7a22ece6c89ac4c
129,-87.9935656,42.101019,1351,north luther lane,,Arlington Heights,,il,60004,,6c33119a66b29d9e
130,-87.84999659999998,42.0371681,1610,luther lane,,Park Ridge,,il,60068,,1676d1ff1e38d3fb
131,-87.6910406,41.8469948,2613,west luther street,,Chicago,,il,60608,,2ac7c37d7571305b
132,-87.6162856,41.8465279,2545,south doctor martin luther king jr drive,,Chicago,,il,60616,,544553d0f61fdb46
133,-87.85930069999999,42.319712,2212,martin luther king jr dr,Ste FRNT,North Chicago,,il,60064,,a5c8d54077f5bd15
134,-87.8335829,42.3583831,25,s martin luther king jr ave,,Waukegan,,il,60085,,68fb51ca4c01c945
135,-87.8344297,42.360082,10,n martin luther king jr ave,,Waukegan,,il,60085,,160573ba6e7ce89c
136,-88.1118901,42.3738752,24514,w luther ave,,Round Lake,,il,60073,,0cb3ab6d5462ff20
137,-87.9880695,41.8513428,1709,s luther st,,OAKBROOK TERR     ,,il,60181,,14d7c2cf3ce166c2
138,-87.989574,41.8533721,1S371,luther ave,,LOMBARD           ,,il,60148,,b633c14b54212b9b
139,-87.99049029999999,41.85765429999999,1S150,luther,,LOMBARD           ,,il,60148,,0b53125b48ecb6e5
140,-87.9897052,41.863020399999996,0S659,luther ln,,LOMBARD           ,,il,60148,,409b8d18344ad4e1
141,-87.9903911,41.8556161,1416,luther st,,LOMBARD           ,,il,60148,,2d2336ec5e9326c8
142,-87.9896163,41.8542745,1509,s luther,,LOMBARD           ,,il,60148,,027d5a372498a5fa
143,-87.9903317,41.8543933,1506,s luther ave,,LOMBARD           ,,il,60148,,4a70e4cacb983dda
144,-87.9896059,41.8540534,1511,luther dr,,LOMBARD           ,,il,60148,,0219b02a8ea1dbda
145,-89.6189056,40.6894006,1704,w martin luther king jr dr,,PEORIA,,il,61605,,243ab0427b788748
146,-89.6128472,40.6920309,1204,w dr martin luther king jr dr,,PEORIA,,il,61605,,3660d3507edb19f9
147,-88.9498546,39.890827200000004,3770,n martin luther king jr dr,,DECATUR,,il,62526,,9b0f788ddc1321d4
148,-88.9499947,39.8926237,3840,n martinluther king jr dr,,DECATUR,,il,62526,,89536712e889ecd3
149,-88.9504304,39.836037,531,s martin luther king jr dr,,DECATUR,,il,62521,,8fd55f57441c33f5
150,-89.7629952,41.5953036,688,luther rd,,TAMPICO,,il,61283,,fd602e0a3bf5353f
151,-89.023149,40.494654,1310,n dr martin luther king jr dr,,BLOOMINGTON,,il,61701,,7ad2b959d4546593
152,-89.0832303,37.8031122,,martin luther king street,,williamson,,il,,,e2a5c9417522ba89
153,-88.1811247,44.4070307,285,luther dr,,VILLAGE OF HOBART,,wi,54115,,a7bea7572c7c093d
154,-90.18864479999999,44.6849506,1612,luther court,,CITY OF MARSHFIELD,,wi,54449,,a0a01bb80af7e02b
155,-90.07872590000001,44.8073549,118700,luther st,,marathon,,wi,,,629cd4678462c79b
156,-88.0675275,42.9454079,12241,w luther ave,,Hales Corners,,wi,53130,90839,dad5103ae8303505
157,-88.06646429999999,42.9470204,12130,w luther ct,,Hales Corners,,wi,53130,90708,4c80efedebce7b51
158,-88.18113050000001,44.407038899999996,285,luther drive,,,,wi,,,91b9fb85e6c1ad8e
159,-92.57805490000001,45.7363846,11600,luther point road,,GRANTSBURG,,wi,54840,,b746a2493ac73af4
160,-89.3823651,43.0738016,115,martin luther king j boulevard,,MADISON,,wi,53703,,1e486c65195162fd
161,-89.3823651,43.0738016,111,martin luther king jr boulevard,,MADISON,,wi,53703,,be967500ce129d14
162,-88.049402,42.9453149,,w luther avenue,,,,wi,,,781cacd275ca3522
163,-88.0668676,42.946458,12145,w luther court,,,,wi,,,a84d332d76b16a43
164,-89.111417,45.43143920000001,N 11093,luther lane,,,,wi,54428,,4727853b9b4ec99f
165,-87.9892216,43.232526,11732,n luther lane 65w,,,,wi,53092,,1e0e88413ee13f44
166,-89.2085429,42.5791972,6942,s luther valley road,,,,wi,,,b4234814447c5f3e
167,-88.99873240000001,42.695422,1821,w luther road,,,,wi,,,3d462c124981570d
168,-88.997147,42.695498799999996,2111,e luther road,,,,wi,,,fb2578bf69079f00
169,-88.4976988,43.107401,139,e luther avenue,,OCONOMOWOC,,wi,53066,,9607e9bbf55e1a20
170,-91.90609070000001,45.8101409,W 7246,luther road,,,,wi,54801,,e6f3a7726696e8ea
171,-90.1879892,44.684293100000005,1601,luther court,,MARSHFIELD,,wi,,,5207a507f5ae4bd4
172,-90.4683916,42.7386499,685,lutheran street,,,,wi,,,bffadb97d5d383ff
173,-88.38246629999999,43.3281489,941,peace lutheran drive,,,,wi,53027,,ba5712b1f2a7ae37
174,-88.3795821,43.3291531,112,peace lutheran parkway,,,,wi,53027,,81f1d726af636efc
175,-88.3824667,43.3281489,941,peace lutheran dr,,City of Hartford,,wi,53027,50874,ad4793f9365b9bdd
176,-88.3795825,43.329153000000005,112,peace lutheran pkwy,,City of Hartford,,wi,53027,101787,3407d948bc6ba745
